community_area,year,total_reqs,avg_resol_time,median_resol_time,perc_resol_less_than_1,perc_resol_1_min_1_hr,perc_resol_1_hr_12_hr,perc_resol_12_24_hr,perc_resol_1_3_day,perc_resol_3_7_day,perc_resol_7_14_day,perc_resol_14_30_day,perc_resol_1_3_month,perc_resol_3_12_month,perc_resol_1_year_plus,perc_resol_unresolved
7,2021,12810,23130.68396464646,2932.075,0.08657298985167837,0.060967993754879,0.07845433255269321,0.11631537861046058,0.17517564402810304,0.11100702576112412,0.0697111631537861,0.0849336455893833,0.0942232630757221,0.03942232630757221,0.000312256049960968,0.08290398126463701
70,2019,14345,66080.53771529533,11224.391666666666,0.051516207737887766,0.04308121296619031,0.03576158940397351,0.0624607877309167,0.14674102474729872,0.14067619379574764,0.09801324503311258,0.10986406413384454,0.14116416869989543,0.1460439177413733,0.017636807249912862,0.007040780759846636
70,2020,13879,51375.99209064653,8534.35,0.04762590964766914,0.0539664240939549,0.052381295482383454,0.08739822753800706,0.15267670581453996,0.11830823546365012,0.12183874918942286,0.10505079616687081,0.13905901001513077,0.07680668636068881,0.0177966712299157,0.02709128899776641
70,2021,13137,36555.03099878868,7035.25,0.033188703661414326,0.0621146380452158,0.09142117682880414,0.08624495699170283,0.13404886960493265,0.11113648473776357,0.08753901195097816,0.09789145162518079,0.13062343000685087,0.08723452843114866,0.00022836263987211693,0.0783283854761361
71,2019,17783,55957.73499321344,8514.716666666667,0.12287015689141315,0.052971939492774,0.045043018613282346,0.052690772085699826,0.1201709497835011,0.1349041219141877,0.10903672046336389,0.11100489231288309,0.12427599392678401,0.10279480402631727,0.01855704886689535,0.005679581622898273
71,2020,18130,47653.65338379007,8901.3,0.0921676778819636,0.08400441257584115,0.05642581356867071,0.0495311638168781,0.10722559293987866,0.1205184776613348,0.13033645890788748,0.1190292333149476,0.13248758963044677,0.07181467181467181,0.016657473800330943,0.01980143408714837
71,2021,17889,33883.27428805138,10231.216666666667,0.03661467941192912,0.058415786237352565,0.07686287662809548,0.06361451171110738,0.11711107384426184,0.1052602157750573,0.09771367879702611,0.15132204147800324,0.1471295209346526,0.06853373581530549,0.0,0.0774218793672089
72,2019,8432,76199.36091595731,10356.55,0.005336812144212524,0.07993358633776092,0.05562144212523719,0.07578273244781783,0.15120967741935484,0.12120493358633776,0.08645635673624288,0.09819734345351043,0.1213235294117647,0.17314990512333966,0.02099146110056926,0.010792220113851992
72,2020,7430,57920.885677589555,7205.158333333333,0.018304172274562585,0.10148048452220727,0.0702557200538358,0.06998654104979811,0.15302826379542395,0.1313593539703903,0.11103633916554509,0.09502018842530283,0.10847913862718708,0.08411843876177658,0.026244952893674293,0.030686406460296096
72,2021,6500,31851.713817540207,5550.558333333333,0.009846153846153846,0.10261538461538462,0.08676923076923077,0.072,0.142,0.12015384615384615,0.08523076923076923,0.07446153846153847,0.12753846153846154,0.06553846153846153,0.0003076923076923077,0.11353846153846153
73,2019,12312,65351.36484687627,10967.15,0.049545159194282,0.06099740090968161,0.057504873294346975,0.05734243014944769,0.12776153346328786,0.13263482781026642,0.11159844054580896,0.11419753086419752,0.13994476933073424,0.12110136452241715,0.021929824561403508,0.005441845354126056
73,2020,11943,60447.095526924066,11420.366666666667,0.04697312233107259,0.0810516620614586,0.060537553378548103,0.05065728878841162,0.11035753160847359,0.11722347818805995,0.12191241731558235,0.1262664322197103,0.14602696139998325,0.09394624466214518,0.023109771414217533,0.021937536632336933
73,2021,11607,36972.224331382546,10132.05,0.010338588782631171,0.074954768674076,0.08150254156974239,0.05875764624795382,0.12208150254156974,0.10760747824588611,0.09847505815456191,0.13000775394158698,0.1434479193590075,0.08537951236322909,0.00017230981304385286,0.08727492030671147
