,cca_name,cca_num,percent_unemployed,LTM_income_sub_10k,LTM_income_10-15k,LTM_income_15_20k,LTM_income_20_25k,LTM_income_25_30k,LTM_income_30_35k,LTM_income_35_40k,LTM_income_40_45k,LTM_income_45_50k,LTM_income_50_60k,LTM_income_60_75k,LTM_income_75_100k,LTM_income_100_125k,LTM_income_125_150k,LTM_income_150_200k,LTM_income_200k+,below_0.50_poverty_line,0.50_1.00_poverty_line,1.00_1.25_poverty_line,1.25_1.50_poverty_line,1.50_1.85_poverty_line,1.85_2.00_poverty_line,2.00+_poverty_line,White,Black_or_African_American,American_Indian_or_Alaska_Native,Asian,Native_Hawaiian_or_Other_Pacific_Islander,some_other_race_alone,two_or_more_races
20,Avondale,21,7.835032176241251,6.885874373341197,5.8905927455028015,5.529342376879976,6.863757003833677,7.888528457682099,6.214980831613094,5.927455028015335,5.145974638749632,6.0749041580654675,8.235033913299912,10.726924211147153,10.129755234444117,4.401356531996462,4.401356531996462,3.310232969625479,2.3739309938071362,6.972560743874939,14.180749448934607,8.989333400896907,7.765588183131065,9.392181205503054,3.2075806329017706,49.49200638475766,83.41934996601294,2.4445507414214145,0.7829611540494953,3.267792855164774,0.07049167946426324,7.5677853024848325,2.447068301402281
21,Logan Square,22,6.042705872057407,6.641548210309985,5.538619626648399,3.688987840383627,5.963349888679568,4.79876691214249,4.836444596677513,3.740366501113204,4.065764685733859,3.271108066449734,7.518410686761431,9.847576639835589,11.382085973625621,8.17263230005138,6.114060626819661,7.336872752183593,7.083404692584347,7.144302226777984,10.73735888755513,6.747771198899424,4.763767314513845,7.035053882362462,2.462808356823975,61.108938133067184,80.98700183771747,5.49705562784209,0.31120471099545266,3.070463721847376,0.01609679539631652,6.995398999315887,3.1227783068854045
22,Humboldt Park,23,17.404775675452367,18.009564743628548,6.901144137054301,7.906047581572734,7.5065076578485375,6.531872389369816,7.585204915551789,5.3332526181972275,4.673406380531509,2.9420667110599914,6.223136993764756,7.839457594285368,10.097463526847871,4.086203765361099,1.3983897330346873,1.9068950905018465,1.0593861613899147,15.47170501518089,16.345977978563848,9.664557193547207,10.25350257892234,8.22694516589238,2.1143505139554453,37.92296155393788,20.559524458744615,42.046136227299996,0.23813419134354946,0.5035356565050626,0.0,34.24587809710785,2.4067913689989275
23,West Town,24,6.333163178492428,6.48897946050303,3.9389714163136165,3.113101303158685,4.459162331742371,3.123826889043814,2.882501206628412,2.4936987182924866,4.536922829409557,3.421461897356143,6.411218962835845,9.181101517670403,12.127956239609588,10.146404247332011,6.427307341663538,8.942457231726284,12.304928406714216,6.4855647674486985,9.138589992356088,3.371552889986476,3.7302287293467393,5.197859704827424,1.8568824601634621,70.21932145587111,75.30438643640018,8.178121567619359,0.2827697413007408,4.070949498726368,0.0,8.609286999602721,3.5544857563506347
24,Austin,25,19.481611376684523,15.307300933295876,8.686830851827574,8.764865624122109,7.784748884102756,7.275962168742392,6.670412335736804,5.228329743733807,4.398039766519961,3.158847582482754,7.035615070075226,7.862783656397291,7.987639292068546,4.491681493273402,2.603240003745669,1.5232387551893123,1.2204638386865188,13.836705950580974,16.743646569043726,7.7546032600816055,7.836415981441975,8.073569312980261,3.0457115635550216,42.70934736231644,8.164435750642648,83.59841463289739,0.13006564730702663,0.47827289206599555,0.04403797507245783,6.689675655192897,0.8950974468215847
25,West Garfield Park,26,17.837078651685392,23.908174692049272,10.265024262784621,9.38783128032848,8.156028368794328,5.487122060470324,6.476297125793207,3.863381858902576,4.348637551325122,3.3407988055244497,6.401642403882045,6.4949608062709965,8.49197461739455,1.1758118701007838,1.3811123553564764,0.46659201194475547,0.3546099290780142,26.295727370996186,21.07868236900495,6.633668999260397,5.683563748079877,7.293622347385788,4.005234112760994,29.009501052511805,2.3346303501945527,95.7649579879321,0.10714487114419444,0.34399142841030844,0.0,1.3082952687080585,0.14098009361078215
26,East Garfield Park,27,20.31272210376688,29.01502021952628,12.016175621028308,7.192374350086656,5.993645291738879,5.6181398035817445,3.321779318313114,3.870595031773541,4.852686308492201,2.5996533795493932,4.664933564413634,6.0369728480647025,8.304448295782784,3.105141536683998,1.0687463893703062,1.6175621028307337,0.7221259387637204,27.430093209054597,20.446811658529366,7.057256990679095,7.451792671499728,5.844059772155644,1.0652463382157125,30.704739359865858,5.540769416888459,91.55577062666343,0.07258649891120252,0.2758286958625696,0.0,1.6210984756835227,0.9339462859908058
27,Near West Side,28,10.013806757496027,14.953710400694344,4.263706061044409,3.688702444669463,3.4102415738463767,2.28916534066252,2.036019094459714,1.9636915955446261,2.184290467235643,2.6761174598582382,5.35585129466223,8.86735136698973,10.686387964704181,9.746130478808043,7.117025893244612,9.760595978591061,11.00101258498481,16.62495655196385,8.444560305874175,3.9155370177267987,3.048314216197428,3.630517900590893,2.0316301703163018,62.30448383733055,48.00543970988214,31.231381945343866,0.1699909338168631,15.660212407719207,0.13275482450459786,2.295687087164875,2.5045330915684496
28,North Lawndale,29,23.394941634241246,24.436470696476217,11.068175545128346,10.166528659490295,9.080872205354678,5.520287054926857,5.593890882325881,3.6893918483761152,4.554236820314657,3.054558837059527,4.747446867237096,7.3511822614775975,5.833103321372712,2.7325420921887935,1.1960621952341521,0.782040666114638,0.19321004692243998,25.838713396356926,21.57885635231727,8.5398893244178,7.473483975097994,6.891284297901776,2.052109753285681,27.62566290062255,5.910534074158067,89.85996144687606,0.28064406395282915,0.3004875836262615,0.0,2.9878671051139585,0.66050572627282
29,South Lawndale,30,13.158164836292723,9.818262411347519,9.43040780141844,10.593971631205672,10.981826241134751,7.92331560283688,8.937278368794328,7.912234042553192,5.191710992907801,5.031028368794326,6.986923758865249,7.590868794326242,4.681959219858156,2.7925531914893615,1.169104609929078,0.6039450354609929,0.3546099290780142,13.332422752382685,23.20615552722637,9.998178838098706,11.062040915437382,9.723486917987008,3.133916105141747,29.543798943726095,62.23959038821012,11.20472462276163,0.5038875193021428,0.24517107794002113,0.0,24.88283260639883,0.923793785387262
