community_area,year,total_reqs,avg_resol_time,median_resol_time,perc_resol_less_than_1,perc_resol_1_min_1_hr,perc_resol_1_hr_12_hr,perc_resol_12_24_hr,perc_resol_1_3_day,perc_resol_3_7_day,perc_resol_7_14_day,perc_resol_14_30_day,perc_resol_1_3_month,perc_resol_3_12_month,perc_resol_1_year_plus,perc_resol_unresolved
32,2019,8456,76694.14674400898,5438.133333333333,0.14084673604541154,0.07556764427625355,0.0728476821192053,0.06267738883632923,0.11885052034058656,0.07521286660359508,0.04552980132450331,0.07272942289498581,0.1760879848628193,0.10986281929990539,0.03346736045411542,0.0163197729422895
32,2020,7163,35100.60671312758,786.5333333333333,0.30280608683512494,0.09632835404160268,0.08557866815580065,0.08320536088231188,0.09521150355996091,0.06114756386988692,0.05025827167387966,0.0524919726371632,0.0865559123272372,0.05263157894736842,0.01535669412257434,0.01842803294708921
32,2021,7194,14487.856663665016,1121.3666666666666,0.1989157631359466,0.09355018070614401,0.11301084236864054,0.12343619683069225,0.1462329719210453,0.07895468445927162,0.038504309146510984,0.04364748401445649,0.06157909368918543,0.028217959410619962,0.00013900472616068947,0.07381150959132611
33,2019,3255,64980.969613947695,8692.341666666667,0.07557603686635944,0.09155145929339478,0.05038402457757297,0.0565284178187404,0.1336405529953917,0.10660522273425499,0.08448540706605223,0.10998463901689708,0.14746543778801843,0.10291858678955453,0.027649769585253458,0.013210445468509985
33,2020,2862,44782.51255626629,4490.708333333334,0.10237596086652691,0.08176100628930817,0.07721872816212438,0.10062893081761007,0.12089447938504543,0.11390635918937805,0.09189378057302586,0.11076170510132774,0.09538784067085954,0.07617051013277429,0.01222921034241789,0.016771488469601678
33,2021,3048,22182.059092514126,3896.616666666667,0.08464566929133858,0.10662729658792651,0.08759842519685039,0.08202099737532809,0.12992125984251968,0.10859580052493438,0.09940944881889764,0.10958005249343832,0.08562992125984252,0.03477690288713911,0.00032808398950131233,0.07086614173228346
34,2019,2739,72062.3033419339,9968.05,0.06827309236947791,0.056589996349032494,0.04746257758305951,0.06936838262139466,0.14056224899598393,0.11646586345381527,0.08908360715589632,0.11281489594742607,0.14202263599853962,0.11573566995253742,0.0321285140562249,0.009492515516611903
34,2020,3473,33432.61356509884,2922.4166666666665,0.14857471926288512,0.07831845666570689,0.05787503599193781,0.11632594298877051,0.14713504175064784,0.09386697379786928,0.11431039447163835,0.07371148862654765,0.08638065073423554,0.06161819752375468,0.007486323063633746,0.014396775122372588
34,2021,3307,19576.48521427808,3028.766666666667,0.11158149380102812,0.058361052313274875,0.07106138494103417,0.11641971575446024,0.17538554581191412,0.13426065920774116,0.07075899606894466,0.09615966132446326,0.07287571817357122,0.03628666465074085,0.0,0.056849107952827334
35,2019,3067,67535.55918725974,7170.7,0.09520704271274862,0.10792305184219107,0.07303553961525922,0.04564721225953701,0.11150961851972611,0.10824910335833061,0.08183893055102706,0.09357678513205087,0.13955004890772743,0.10498858819693511,0.028040430388001303,0.010433648516465601
35,2020,3102,45540.17912685338,6834.1,0.09381044487427466,0.09413281753707285,0.0673758865248227,0.06125080593165699,0.11960025789813024,0.10896196002578981,0.10638297872340426,0.12024500322372662,0.11605415860735009,0.08220502901353965,0.008381689232753063,0.021598968407479047
35,2021,2796,23935.249795783926,4047.233333333333,0.05400572246065808,0.10228898426323318,0.10765379113018599,0.08476394849785408,0.11516452074391989,0.11766809728183118,0.09370529327610873,0.0840486409155937,0.10228898426323318,0.04256080114449213,0.000715307582260372,0.09513590844062947
